Stoichiometroic Energy,Stoichiometroic Int,Off stoichiometroic Energy,Off stoichiometroic Int
9.85,2,9.85,1
9.86,2,9.86,0
9.87,2,9.87,1
9.88,1,9.88,1
9.89,1,9.89,1
9.9,3,9.9,1
9.91,4,9.91,1
9.92,0,9.92,3
9.93,1,9.93,0
9.94,2,9.94,0
9.95,1,9.95,0
9.96,3,9.96,1
9.97,0,9.97,3
9.98,4,9.98,1
9.99,1,9.99,3
10,1,10,1
10.01,2,10.01,2
10.02,1,10.02,0
10.03,1,10.03,0
10.04,1,10.04,0
10.05,0,10.05,0
10.06,3,10.06,3
10.07,0,10.07,0
10.08,0,10.08,2
10.09,1,10.09,1
10.1,4,10.1,0
10.11,3,10.11,1
10.12,1,10.12,2
10.13,1,10.13,1
10.14,1,10.14,2
10.15,0,10.15,0
10.16,3,10.16,0
10.17,6,10.17,1
10.18,1,10.18,0
10.19,1,10.19,1
10.2,1,10.2,1
10.21,3,10.21,2
10.22,0,10.22,4
10.23,1,10.23,0
10.24,0,10.24,1
10.25,4,10.25,1
10.26,2,10.26,1
10.27,1,10.27,2
10.28,0,10.28,2
10.29,2,10.29,2
10.3,1,10.3,0
10.31,1,10.31,0
10.32,0,10.32,2
10.33,2,10.33,0
10.34,1,10.34,2
10.35,1,10.35,1
10.36,3,10.36,1
10.37,1,10.37,4
10.38,3,10.38,0
10.39,1,10.39,1
10.4,2,10.4,1
10.41,1,10.41,0
10.42,2,10.42,1
10.43,0,10.43,2
10.44,2,10.44,0
10.45,0,10.45,4
10.46,1,10.46,1
10.47,3,10.47,1
10.48,3,10.48,1
10.49,1,10.49,2
10.5,3,10.5,0
10.51,0,10.51,0
10.52,2,10.52,2
10.53,1,10.53,0
10.54,0,10.54,2
10.55,1,10.55,2
10.56,1,10.56,0
10.57,0,10.57,3
10.58,2,10.58,0
10.59,1,10.59,3
10.6,2,10.6,4
10.61,2,10.61,1
10.62,0,10.62,0
10.63,1,10.63,4
10.64,4,10.64,0
10.65,1,10.65,0
10.66,1,10.66,4
10.67,1,10.67,0
10.68,1,10.68,0
10.69,0,10.69,1
10.7,3,10.7,3
10.71,2,10.71,2
10.72,1,10.72,1
10.73,1,10.73,0
10.74,1,10.74,0
10.75,1,10.75,1
10.76,2,10.76,0
10.77,0,10.77,1
10.78,1,10.78,0
10.79,1,10.79,1
10.8,1,10.8,1
10.81,0,10.81,1
10.82,1,10.82,1
10.83,1,10.83,0
10.84,1,10.84,0
10.85,0,10.85,0
10.86,1,10.86,1
10.87,0,10.87,0
10.88,0,10.88,1
10.89,0,10.89,1
10.9,1,10.9,1
10.91,3,10.91,0
10.92,1,10.92,0
10.93,1,10.93,1
10.94,1,10.94,1
10.95,2,10.95,1
10.96,0,10.96,0
10.97,0,10.97,1
10.98,0,10.98,1
10.99,2,10.99,1
11,2,11,1
11.01,0,11.01,0
11.02,3,11.02,1
11.03,1,11.03,1
11.04,0,11.04,0
11.05,1,11.05,0
11.06,2,11.06,0
11.07,2,11.07,0
11.08,0,11.08,1
11.09,1,11.09,2
11.1,0,11.1,1
11.11,2,11.11,0
11.12,1,11.12,2
11.13,3,11.13,0
11.14,0,11.14,0
11.15,1,11.15,0
11.16,0,11.16,1
11.17,2,11.17,3
11.18,0,11.18,0
11.19,0,11.19,0
11.2,0,11.2,1
11.21,2,11.21,1
11.22,1,11.22,0
11.23,0,11.23,4
11.24,1,11.24,1
11.25,1,11.25,0
